case_id,case_outcome,case_title,case_text
Case2666,followed,Louis Vuitton Malletier SA v Toea Pty Ltd [2006] FCA 1443 ; (2006) 156 FCR 158,"In the present case, there is a single course of infringement (the creation of the Vawdrey Engineering Drawings and the resulting manufacture of trailers) of a single copyright (the Krueger Drawings). Both Camerons and Vawdrey joined in that infringement in that Vawdrey could not have completed its drawings and manufacture without receiving instructions, based on the Krueger Drawings, from Camerons, and Camerons could not have completed the infringement without the execution by Vawdrey of those instructions. Each participated in committing the wrong of which Krueger now complains and thus the liability of each for the damage sustained by Krueger as a consequence of commission of that wrong is to be determined as if each was a joint tortfeasor with the other: The Koursk [1924] P 140 , cited with approval in Louis Vuitton Malletier SA v Toea Pty Ltd [2006] FCA 1443 ; (2006) 156 FCR 158 at [149] ; see also Balkin and Davis, Law of Torts (3rd 2004) at [29.24]-[29.41]. 25 Dowsett J helpfully canvassed the principal tort authorities in Louis Vuitton at [148]-[170]; see also Bialkower v Acohs Pty Ltd (1998) 83 FCR 1 , 12. In deciding whether two defendants should be held jointly liable for copyright infringement, his Honour also relied on The Koursk , concluding that it must be shown that they acted in concert; that is, that there was a ""concurrence in the act or acts causing damage, not merely a coincidence of separate acts which by their conjoined effect cause damage"": Louis Vuitton at [171]. Again, this is such a case. Camerons and Vawdrey concurred in the acts which caused Krueger the damage of which it complains; there was more than a coincidence of separate acts joining together to cause damage to Krueger. Accordingly, each of Camerons and Vawdrey is jointly and severally liable for the copyright infringement."
Case2438,cited,Kernel Holdings Pty Ltd v Rothmans of Pall Mall Ltd [1991] FCA 557,"The Commission submits that a pleading of a conclusion is not necessarily objectionable; a pleading alleging agency is not objectionable ( Kernel Holdings Pty Ltd v Rothmans of Pall Mall Ltd [1991] FCA 557 per French J at 7). It submits that the pleading represents a reasonable articulation of the case which is sought to be tried. A conclusion of agency will depend on the evidence to be adduced. 47 The Commission accepts that parts of the pleading state conclusions and are of a general nature. It submits that such pleading may still define the issues and inform the respondents of the case they have to meet. In the present case, the Commission says that a level of generality is appropriate and that a conclusion may also be a pleading of a material fact ( Kernel Holdings per French J; State of Queensland v Pioneer Concrete [2003] FCA 1454 ; (1999) ATPR 41-961 per Drummond J). It submits that this, like Pioneer , is a case in which it is unnecessary to strike out a conclusionary pleading. It is not, the Commission submits, a question whether the facts pleaded are sufficient in themselves to give rise to a cause of action but whether it would be open on the pleadings to prove the facts at the trial which would constitute a cause of action (Pancontinental Mining Pty Ltd v Posgold Investments Pty Ltd (1994) 121 ALR 405 per Beaumont J at 414). The Commission submits that it has pleaded the overt acts of the alleged conspirators and the conclusion. The Commission says that, taken together, this leads to the conclusion that there was an arrangement or understanding which contained a provision of the type impugned."
Case11469,cited,Australian Competition and Consumer Commission v NW Frozen Foods Pty Ltd (1996) ATPR 41-515,"Decisions of this Court have identified additional relevant factors which can be taken into account (see Trade Practices Commission v CSR Ltd (1991) ATPR 41-076, at 52,152-52,153; Australian Competition and Consumer Commission v NW Frozen Foods Pty Ltd (1996) ATPR 41-515 at 42,444-42,445): (v) the size of the contravening company; (vi) the degree of its power, evidenced by its market share and the ease of entry into the market; (vii) the deliberateness of the contravention and the period over which it extended; (viii) whether the contravention arose out of the conduct of senior management or at a lower level; (ix) whether the company had a corporate culture conducive to compliance with the Act, as evidenced by educational programs and disciplinary or other corrective measures in response to an acknowledged contravention; (x) whether the contravenor has shown a disposition to co-operate with the authorities responsible for the enforcement of the Act in relation to the contravention; (xi) similar conduct in the past; (xii) financial position; (xiii) deterrent effect."
Case21405,cited,Emirates v Australian Competition and Consumer Commission [2009] FCA 312 ; (2009) 255 ALR 35,"does no more than support a general principle that there may, for TPA purposes, exist a market in Australia even though it forms part of a wider international market. Hill J's decision was so understood by Middleton J in Emirates v Australian Competition and Consumer Commission [2009] FCA 312 ; (2009) 255 ALR 35. His Honour considered the meaning of a ""market in Australia"" in the context of s 45 of the TPA. Significantly, his Honour held (at 53) that: ""... the definition of ""market in Australia"" in s 4E excludes a market that is wholly outside Australia, a conclusion with which I respectfully agree...In my opinion, Hill J in Riverstone Computer Services Pty Ltd v IBM Global Financing Australia Ltd [2002] FCA 1608 ( Riverstone ) was correct in concluding that the fact that a market was global did not signify that there could not be a market in Australia for the same products (or services)"". Emirates and the other authorities to which I have referred make it clear that, simply because a market is global, this does not mean that there could not be a market in Australia for the same products. The applicant's pleading is not, in my view, deficient by reason only that it speaks of the respondents being in competition with each other in the Australian market and throughout the world. There may be a market in Australia which forms part of a wider global market. That will, however, be the case only if the same firms are in close competition with each other to attract customers for their goods in both the global market and the Australian market which forms part of the global market. Unfortunately, the applicant does not plead sufficient material facts for the respondents to know clearly whether the applicant is alleging the existence of a global market (of which a market in Australia forms part) or whether it is alleging the existence of a market in Australia and a global market in which, for example, different or additional firms compete for business. The problem is compounded by the variable and imprecise phraseology to which attention has been drawn in paragraph 28 above. Although the applicant's most recent attempt to identify a market in Australia has remedied some of the defects in its original statement of claim, further refinement will be necessary before the necessary degree of precision is achieved. Foreign respondents giving effect to the arrangements in Australia In paragraphs 18 to 25 of the original statement of claim the applicant alleged, in the most general terms, that the foreign respondents gave effect to the cartel arrangements in Australia. There was a notable absence of material facts to establish this part of the applicant's case. In addition, the separate causes of action which needed to be established for the purposes of s 45 (2)(b)(i) and (ii), were rolled up."
Case24249,referred to,BHP Iron Ore Pty Ltd v Australian Workers' Union [2000] FCA 430 ; (2000) 102 FCR 97,"Counsel for ANSTO drew attention to a number of authorities also relating to the relevant operation of the legislation. Specifically in relation to s 298K, in the context of BHP Iron Ore Pty Ltd v Australian Workers' Union [2000] FCA 430 ; (2000) 102 FCR 97 the Full Federal Court (Black CJ, Beaumont and Ryan JJ) at [35] said as follows: 'It has to be borne in mind, in construing s 298K, that it proscribes conduct by "" an employer "" directed to "" an employee "" or "" other person "" (emphasis added). That use of the singular suggests that the alleged injury or alteration of position has to be examined in the light of the circumstances of each individual employee. (It is not the point that in the interpretation of statutes, the singular ordinarily includes the plural; here we are concerned with the indications of legislative intention to be discerned from the actual language used.) It is also significant that the conduct struck at by each paragraph of s 298K is expressed by an active verb: ""dismiss"", ""injure"", ""alter the position"", ""refuse to employ"", and ""discriminate"". That implies that the proscription is essentially against an intentional act of the employer directed to an individual employee or prospective employee.' 22 I should interpolate to point out that in relation to the subsequent single judge decision in BHP Iron Ore following upon the Full Court's remitter of the proceedings to the trial judge, Kenny J of this Court decided in Australian Workers Union v BHP Iron Ore Pty Ltd [2001] FCA 3 ; (2001) 106 FCR 482, that '[ b ] efore s 298K(1) can apply , it must be possible to say of an employee that he or she is, individually speaking, in a worse situation after the employer's acts than before them; that the deterioration had been caused by those acts; and that the acts were intentional in the sense that the employer intended the deterioration to occur ' (see [54]). Upon that footing, the case foreshadowed by ANSTO was that Mr Lever '... has not established, or even alleged, that he ceased to be entitled to the benefits of an industrial instrument by reason of conduct of [ANSTO]', since '... there can have been no conduct of [ANSTO] that was for the reason prohibited by s 298L(1)(h)'. 128 Addressing what Mr Lever's case categorised as the first series of breaches pleaded by Mr Lever's points of claim (which of course I have earlier outlined), ANSTO emphasised that Dr Doherty's 'promotion' decision reflected the feature that Mr Lever '... [did] not challenge Dr Doherty's discretion as [Mr Lever's] supervisor to determine whether, and to what extent, to promote [Mr Lever], or the procedure adopted by Dr Doherty in his exercise of that discretion', but rather '... relate[d] to the possibility of a review of Dr Doherty's determination'. ANSTO contended that for Mr Lever to assert the existence of any assurance as to his future promotion to SPO1 'was an overly optimistic and untenable interpretation of the words attributed to Dr Doherty', ANSTO describing the words attributed by Mr Lever to Dr Doherty as 'innocuous' and such as not to have 'preclude[d] [Mr Lever] from pursuing any available avenue for a review of his December 2000 promotion' to SPO2, yet which Mr Lever did not seek to do. Attention was drawn then by ANSTO specifically to what Mr Lever alleged to have constituted breach of s 298K(1)(b) and (c) on account of Dr Doherty's failure merely '... to inform [Mr Lever] of his rights to a review of Dr Doherty's decision', and to the irrelevance of Mr Lever's ignorance of the availability of review, if such ignorance had been in fact a reality. Attention was further drawn by ANSTO to the presence of the words ' do or threaten to do ' contained in each of the two subsections of s 298K, being words described by ANSTO as inapt to include any mere failure to do something, comprising as that statutory expression did the connotation of a proscription ' ... essentially against an intentional act of the employer directed to an individual employee or prospective employee ' (see again in that regard dicta earlier cited from BHP Iron Ore v AWU ). 129 On that footing, ANSTO's case was that Mr Lever '... has not established that any conduct of [ANSTO] caused him to miss an opportunity to seek a review of Dr Doherty's decision to promote him', and further that Mr Lever did not express any intention '... to seek a review at the time of the relevant discussions with Dr Doherty', nor did he establish 'that the conduct of [ANSTO] was the reason for his failure to seek such a review'. ANSTO emphasised that Mr Lever did not allege for instance that Dr Doherty 'took any direct action to prevent a review in the knowledge that [Mr Lever] was seeking one', nor was there evidence of any action to such effect. It could not be said therefore, so the ANSTO submission continued, that for instance 'Dr Doherty intended his conduct to frustrate a course of action proposed by [Mr Lever] of which Dr Doherty was ignorant'. There is clear force in that ANSTO response to the first series of breaches alleged by Mr Lever. 130 It was pointed out moreover by ANSTO that if a failure to seek a review did involve an injury to Mr Lever ' in his... employment ' or an alteration of his ' position ' to his ' prejudice ' within the meaning of pars (b) or (c) of s 298K(1), then any such failure was attributable in any event to '... the actions or inaction of [Mr Lever] subsequent to the conduct of Dr Doherty'. Since Mr Lever knew of the availability of review, so ANSTO maintained, '... it was his own decision to forbear from pursuing one'; and further that since Mr Lever had not proved the so-called 'forbidden conduct' the subject of present consideration, it was unnecessary for ANSTO to prove the reason for it. Moreover it was ANSTO's case that there was an absence of evidence as to Dr Doherty harbouring any prohibited reason, he being the person whose conduct was sought to be impugned and the only person whose reasons could be ultimately relevant."
Case18990,distinguished,Australian Broadcasting Corporation v XIVth Commonwealth Games Ltd (1988) 18 NSWLR 540,"Where there is no clear evidence of offer and acceptance one must look to the conduct of the parties to determine if they have agreed to incur reciprocal promissory obligations; Toyota Motor Corporation at 178 per Tadgell J. Unlike the circumstances that confronted the Court in Australian Broadcasting Corporation v XIVth Commonwealth Games Ltd (1988) 18 NSWLR 540, the present issue cannot be resolved primarily as a matter of construction of the relevant documents."
Case17326,considered,Klewer v Official Trustee in Bankruptcy [2008] FMCA 274,"The appellants appeal from a decision of Raphael FM dismissing their application for a declaration that the Korora property is non-divisible among Ms Klewer's creditors ( Klewer v Official Trustee in Bankruptcy [2008] FMCA 274). Ms Klewer argued before Raphael FM that the Korora property is not divisible amongst her creditors for two reasons: that the moneys used to purchase the property constituted ""protected money"" within the meaning of s 116(2D) of the Act and that the Korora property was held in trust by Ms Klewer for Robert Klewer and was therefore not property divisible amongst Ms Klewer's creditors by virtue of the operation of s 116(2)(a) of the Act. 3 On 11 March 2008, the appellants filed a notice of appeal ' from part of the judgment of the Federal Magistrates Court '. The ground of appeal was: ' That the evidence supports the existence of a trust '. On 18 June 2008, an amended notice of appeal was filed from the whole of the judgment of Raphael FM. The sole ground of appeal is: ' Procedural unfairness '. No particulars are provided. 4 At the hearing of this appeal, Ms Klewer says that her grounds of appeal are: &#8226; Procedural unfairness, because: - She appeared by telephone before the Federal Magistrate; - She was unable to hear everything that was said during the hearing before the Federal Magistrate; - The Federal Magistrate did not cross-examine her other children who had filed affidavits; - The Federal Magistrate ""assumed"" what the other children had meant from their statements and drew the wrong conclusions from those statements; - She and her son did not have legal representation. &#8226; That the evidence established an express trust in favour of Robert Klewer, or, in the alternative, an implied or constructive trust."
Case6487,cited,Rhem Pty Ltd v Websters Security Systems (International) Pty Ltd (1988) 81 ALR 79,"The priority date of the claims is to be determined according to ss 43 and 114 (1) of the Act and regs 3.12 and 3.14 of the Patents Regulations 1991 (Cth) (""Regulations""). The effect of these provisions is that the priority date of the current patent is the filing date in Australia, namely 28 January 1992, unless the Regulations so provide. However, if the claims of the patent are fairly based on matter which is disclosed in the original application document in Sweden, then the priority date will be the date of filing in Sweden, namely 30 January 1991. In other words, if the present claims cover matters which were in substance really and reasonably clearly disclosed, so that the invention as now claimed is broadly described in the body of the original specification considered as a whole, then the priority date will be taken as 30 January 1991: see Pfizer Inc v Commissioner for Patents [2005] FCA 137 ; (2005) 141 FCR 413 at 420; Rhem Pty Ltd v Websters Security Systems (International) Pty Ltd (1988) 81 ALR 79 at 95; Lockwood Security Products Pty Limited v Doric Products Pty Limited [2004] HCA 58 ; (2004) 217 CLR 274 at 300-301."
Case19224,followed,Croker v Sydney Institute of TAFE (State of New South Wales) [2003] FCA 942,"First, Ms Watson observed that the address given is not a proper address for service. Indeed, in Croker v Sydney Institute of TAFE (State of New South Wales) [2003] FCA 942 Bennett J found that this very address does not comply with the Rules of Court: see in particular [9] and [25] of her Honour's decision. 15 Second, it seems to me to be plain that either the email was received by Mr Croker or, if not, he does not check his emails notwithstanding the fact that the email address appears in his purported address for service in the Notice of Appeal."
Case24870,followed,Prasad v Minister for Immigration and Ethnic Affairs (1985) 6 FCR 155,"It may be that the appellant seeks to raise a submission that the Tribunal had a duty to conduct its own independent inquiries. However, as Wilcox J observed in Prasad v Minister for Immigration and Ethinic Affairs (1985) 6 FCR 155 at 169-170, the circumstances under which a decision will be invalid for failure to conduct its own separate inquiries are strictly limited. There is nothing to suggest that that ground was enlivened in the present case."
Case10247,cited,Tom Thompson Pty Ltd v Pilley (1997) 77 FCR 141,"In Editions Tom Thompson Pty Ltd v Pilley (1997) 77 FCR 141, I held that these observations applied to an application by an administrator of a company subject to a deed of company arrangement for directions under s 447D of the Corporations Law (Cth) (now s 447D of the Act)."
Case2010,considered,SZKSO &amp; Ors v Minister for Immigration [2007] FMCA 1413,"The appellants applied for a review of the Tribunal decision ( SZKSO &amp; Ors v Minister for Immigration [2007] FMCA 1413). The appellants relied on a number of grounds including a claim of bias on the part of the Tribunal and a failure to comply with s 424A of the Act. 7 Federal Magistrate Scarlett rejected the appellants' claim that the Tribunal had made its finding with bias (at [21]). His Honour noted that the basis of that claim was that the Tribunal had completely ignored independent evidence submitted to it but observed that this does not constitute bias (at [21]). His Honour noted that it was open to the Tribunal to prefer the evidence of the expert to the evidence of the first appellant (at [19]). 8 In dealing with an alleged failure by the Tribunal to comply with its obligations under s 424A of the Act, the Federal Magistrate concluded that s 424A had been complied with and that that ground failed (at [22]). 9 His Honour also dismissed what appeared to be a claim that the appellants had not been provided with a hearing as required by s 425 of the Act. As his Honour noted, there was no transcript to show that the evidence of the appellants was unduly curtailed or truncated or that they were prevented from anything (at [23]). 10 The appellants appeared in person, assisted by an interpreter, and provided particulars of the bases or the grounds of appeal upon which they relied. The notice of appeal contains three grounds, that the Federal Magistrate: 1. erred in law by incorrectly assessing the appellants' claim that the Tribunal ignored or failed to consider their claim, ignored relevant materials, misstated or misconceived the claim, made a mistake in relation to an important finding of fact and incorrectly assessed the first appellant's credibility; 2. was wrong in finding that the Tribunal considered the appellants' claims properly when the Tribunal made its finding with bias and ignored evidence put to it; and 3. was wrong in finding that the Tribunal complied with its obligations under s 424A of the Act. 11 Before me, the first appellant explained that the appellants were not saying that the Tribunal had failed to consider a claim that had been made to it but rather that the Tribunal did not believe what the first appellant had said. A decision on credibility is a matter for the Tribunal. This ground of appeal does not succeed. 12 The appellants did not point to any matter which the Tribunal ignored other than to assert that the Tribunal preferred the evidence of the expert, which it should not have done because the expert was not familiar with grapes in China. The first appellant also asserted that, while in the response to the s 424A letter the appellants were unable to provide further information about the grape type that they said that they had grown, this information could easily have been found on the internet. The appellants complained that the Tribunal had not found it."
Case3754,distinguished,Park Oh Ho v Minister of State for Immigration and Ethnic Affairs (1988) 81 ALR 288,"In Park Oh Ho v Minister of State for Immigration and Ethnic Affairs (1988) 81 ALR 288, the Full Court of the Federal Court (Sweeney and Foster JJ, Morling J dissenting) held that a deportation order had not been issued for the purpose of securing various persons' removal from Australia, but was to secure their continued detention in custody, so that their evidence would be available in contemplated criminal proceedings. 291 The decision of the Full Court upheld the decision of Davies J at first instance, to declare the deportation orders a nullity and set them aside. The matter went to the High Court, but only on the question of whether the Full Court had been correct in upholding the refusal of Davies J to make a declaration of unlawfulness. It was on this basis that the decision of the Full Court of the Federal Court was reversed."
Case20928,referred to,Conquo v Jackson [2009] FCA 45,"parties did not dispute the nature of the test to be applied on an application for interim orders. In McGee v Sanders (No 2) [1991] FCA 554 ; (1991) 32 FCR 397 , at 402-403, Gray J discussed the test to be applied, saying: In opening the application for interim orders, counsel for the applicants indicated that she would endeavour to show that there existed a serious issue to be tried as to the applicants' entitlement to relief, and that the balance of convenience favoured the applicants. I am by no means convinced that these tests, which have been applied by courts in dealing with applications for interlocutory injunctions, are appropriate to the specific statutory power under s 209(4) of the Act. It should be noted that the power to make interim orders is given in broad terms. The court may make ""such interim orders as it considers appropriate"". Parliament has not chosen to use the word ""injunction"". The practice in granting or refusing interim orders differs from the practice in relation to interlocutory injunctions in at least one important respect. It is rare for an applicant for interim orders to be called upon to give an undertaking that he or she will pay damages in the event of failure. In my view, it is the duty of the court to do justice as best it can when confronted by an application for interim orders. Sometimes, the evidence proffered by an applicant will be uncontested and will demonstrate a strong case. In such circumstances, a court will naturally be more ready to make orders on an interim basis. In Conquo v Jackson [2009] FCA 45 , at [16], Sundberg J approached an application for interim orders, having regard to this passage and also the test for a conventional interlocutory injunction. Broadly speaking, on the present application, counsel approached the matter by examining the ""serious question"" issue and the ""balance of convenience"", noting at the same time that it was ""the duty of the court to do justice as best it can""."
Case10597,cited,Paul Dainty Corp Pty Ltd v National Tennis Centre Trust (1990) 22 FCR 495,"In Paul Dainty Corp Pty Ltd v National Tennis Centre Trust (1990) 22 FCR 495 the Full Court said (at 515): The authorities make it clear that equity will not impose fiduciary obligations on parties who have entered into ordinary and arm's length commercial relationships, which fully prescribe the respective powers and duties of the parties. This is particularly so when the parties involved are substantial corporations, having equal bargaining power. And in Elders Trustee and Executor Co Ltd v EG Reed Pty Ltd (1987) 78 ALR 193, Gummow J referred to the circumstances in which parties are acting in commercial transaction, at arms length and with the assistance of independent professional advice and observed: Whilst these considerations are not of themselves decisive indicia of the absence of fiduciary obligations of disclosure ... they are of significance: Keith Henry &amp; Co Pty Ltd v Stuart Walker &amp; Co Pty Ltd [1958] HCA 33 ; (1985) 100 CLR 342 at 350-1; Hospital Products Ltd v United States Surgical Corp [1984] HCA 64 ; (1984) 156 CLR 41 at 70, 119 and 146."
Case19207,applied,Project Blue Sky Inc v Australian Broadcasting Authority (1998) 194 CLR 355,"West Asia must still be a relevant person within the meaning of s 19(a) in one of the two ways on which Euroceania relies. Each of the connecting factors referred to in s 19(a) (the owner, charterer, ""in possession or in control of"") should be construed to have a distinct meaning and operation: Project Blue Sky Inc v Australian Broadcasting Authority (1998) 194 CLR 355 at 381-382 [69]-[71] (esp at [71]) per McHugh, Gummow, Kirby and Hayne JJ. Of course, there will be some overlaps: e.g. an owner or demise charterer will often be in possession of a ship and, indeed, in control of her. But a voyage or time charterer may only meet the description ""charterer"" in s 19(a). Nor does s 19 require that the general maritime claim be one that the plaintiff could commence as a proceeding in rem against the ship referred to in s 19(a): Laemthong 190 CLR at 202-203."
Case10933,considered,Re Soci&eacute;t&eacute; Schneider Electric (2002) 4 ITLR 1077,"are passages in a decision of the French Conseil d'&Eacute;tat in Re Soci&eacute;t&eacute; Schneider Electric (2002) 4 ITLR 1077 which, read in isolation, might be thought to support an opposite conclusion in relation to the immateriality of economic consequences when considering whether a national CFC regime was in conflict with Article 7 of an OECD model treaty with Switzerland. For example, in referring to Article 7 of the Franco-Swiss double taxation agreement, the Conseil d'&Eacute;tat opined (at 1108): In the absence of any factor requiring a different interpretation, the 'profits' to which art 7 of the convention refers are those determined according to the rules established by the [French General Tax Code]. It follows that the court below did not make any error in deciding that there is an identity in nature between the business profits (b&eacute;n&eacute;fices) of the Paramer company, the taxation of which is attributed to Switzerland by art 7(1) of the Franco-Swiss tax treaty, and the profitable results (r&eacute;sultats beneficiaries) of the Paramer company which are taxed in France in the name of the Schneider company on the basis of the [CFC regime in the French General Tax Code]."
Case6877,cited,MMIA Pty Limited and QBE Insurance (Australia) Limited [2008] FCA 1239,"the proposed scheme is an ""intra-group"" scheme, that is to say, the policies are being transferred not from one corporate group to another, but within the Swiss Re group. Because the transfer will not involve any real change in the practices and ""culture"" of the insurer, there seems to be a reduced imperative for notification. This consideration has been relied upon as supporting the granting of a dispensation: MMIA Pty Limited and QBE Insurance (Australia) Limited [2008] FCA 1239 at [24] ; Calliden Group Limited at [62]."
Case1095,applied,Jones v Dunkel (1959) 101 CLR 298,"On the contrary, the evidence which I accept is that Mr Sathaar, to whom Mr Coon answered, praised Mr Coon for his work on 9 December 2005. Mr Sathaar is still employed by the respondent and was available to give evidence. He was not called. Consequently, the Court is able more confidently to conclude that the evidence of Mr Sathaar would not have assisted the respondent on this question and to accept the evidence of Mr Coon that he was praised for his work on the day: Jones v Dunkel (1959) 101 CLR 298 ( Jones v Dunkel ) 47 Then, the evidence of the nature of the failings in Mr Coon's work was unsatisfactory and cast doubt on the accusation that Mr Coon had failed to fulfil his duties. There were a number of allegations made by Mr Thornton against Mr Coon which were so extravagant or so lacking in detail as to make them improbable. There were sufficient occasions of such evidence as to indicate that Mr Thornton's accusations against Mr Coon should not be relied upon. 48 For instance, in [6] of the respondent's contentions filed on 10 July 2007 prior to the hearing and authored by Mr Thornton prior to the respondent securing legal representation, it was said: The second applicant was placed on a dimensional checking role which he performed very poorly and resulted in the respondent shipping incorrect work and receiving rectification costs of approx $250,000. The respondent was served with a notice to produce which sought production of any documents relating to these costs. The respondent produced a credit note dated 30 June 2007, for $50,000 in favour of Monodelphous Pty Ltd. This represented the amount accepted by the respondent for rectification costs of the dispatch of steel on 9 December 2005. When this document was put to Mr Thornton in cross examination he said that he did not mean the contentions to say that Mr Coon was responsible for the whole $250,000 rectification costs. He said that the paragraph was just poorly worded and was prepared by him without assistance. Having regard to the centrality and seriousness of the allegations made, these explanations were, and came across in the witness box as, unconvincing. Further, the credit note came into existence well after the dismissal and could not have been the reason for it. Perhaps sensing these shortcomings Mr Thornton took the opportunity shortly afterwards and following a lunch break to use a question in cross examination as a means to seek to retrieve the situation. The exchange was as follows: Well, you don't point us to any other instance of his alleged poor performance at any time than 9 December, do you?---Yes, well, I will say one thing, which was in relation to this $250,000, point six, which is made on the contentions of fact, saying that we had that he just worked that one day and we made $250,000 worth of errors that day. He didn't, but he was working for about two weeks prior in the beamline as a QO man, effectively letting errors go through, I believe, intentionally. When do you say he was working for two weeks in the beamline as a QO man?---You might need to ask Mr Coon exactly, but I spoke to Mr Sathaar at lunch time. He said, ""No, he worked for about two weeks in the beamline as a like a QO person in the same role."" You went and telephoned Mr Sathaar in the lunch break?---Am I not allowed to do that? Well - - -?---Sorry, I didn't realise that was something I wasn't allowed to do. It was explained to you, I think before the before we broke when we broke for lunch by your counsel that you weren't to be having any discussions over the break, wasn't it?---He said I couldn't talk to him. All right, but you thought you were at liberty to go off and speak to Mr Sathaar to find out the situation?---Well, if you want clarity on what happens, isn't that the best thing? 50 Further, the information was obtained over lunch from Mr Sathaar. Mr Thornton said, in effect, that this was the obvious thing to do because Mr Sathaar had the relevant information. And yet Mr Sathaar was not called to give evidence. He was supervising Mr Coon in the job as quality inspector and was present in the yard when, as Mr Thornton alleged, the errors were found. Mr Sathaar was involved in correcting the errors also. Mr Coon denied each of these facts. Mr Thornton also said that he and Mr Sathaar discussed Mr Coon's unsuitability for the job and the reasons for dismissing Mr Coon at the end of his trial period. It can be concluded from the failure of the respondent to call Mr Sathaar that he would not have assisted the respondent's case on these issues: Jones v Dunkel . 51 Another obstacle faced by the respondent in its argument that Mr Coon caused significant cost to the respondent by failing to inspect the steel in the yard properly was that Mr Thornton said that he, his father, and Mr Sathaar had to do the job which Mr Coon had failed to do. If this were so, and they had done the inspection, one would expect that there would have been no faulty steel dispatched on that day. Consequently, there would have been no rectification costs incurred. When faced with this suggestion in cross examination Mr Thornton responded that: ... I'm not sure we rechecked everything. 52 The lack of certainty expressed in this answer is at odds with Mr Thornton's evidence of his extreme level of anxiety arising from the circumstances of the day which Mr Thornton had previously described. 94 Both Mr Sathaar and Mr Thornton's father could have given evidence as to how far away from the meeting they were standing, whether they were checking steel as Mr Thornton said, and whether the speakers were audible to them. Both men were available to the respondent and are in its camp. Their absence from the witness box leads to the conclusion that their evidence would not have assisted the respondent: Jones v Dunkel . 95 I prefer the evidence of Mr Kemmis, Mr Coon and Mr Taylor that Mr Thornton was no more than 30 metres from the meeting. In particular Mr Taylor had a recollection of the location of the management group by reference to a particular door of the plate work factory. This was a level of detail not found in Mr Thornton's recollection. I also accept the evidence of Mr Taylor that the speakers aimed to have Mr Thornton hear what was said and that it was said loudly for Mr Thornton to hear. 96 I find that the evidence positively establishes that Mr Thornton was present within 30 metres of the meeting for the purpose of observing and listening to what was said. I further find that he heard Mr Coon and Mr Kemmis speak at the meeting in favour of union involvement in negotiating a collective agreement with the respondent, and he observed workers at the meeting vote in favour of this course."
Case15254,cited,Jewiss v Deputy Commissioner of Taxation [2006] FCA 1688,The extent to which s 31A of the Federal Court of Australia Act relaxes the test formulated in General Steel has been the subject of observations in recent decisions of this Court: Duncan v Lipscombe Child Care Services Inc [2006] FCA 458 ; Garrett v Macks [2006] FCA 601 per Lander J at [21]-[22]; Jewiss v Deputy Commissioner of Taxation [2006] FCA 1688 per Mansfield J at [26]-[29]; Hicks v Ruddock [2007] FCA 299 per Tamberlin J at [12].
Case20223,cited,Nokia Corporation v Truong (2006) 66 IPR 511,"The central question arising is whether the term 'consumables' falls within the ordinary dictionary meaning or terms in the specifications of Brother's Australian trade marks, in particular, the terms 'parts', 'accessories' and 'attachments'. The dictionary definition of 'accessory' has been considered in the authorities and has been described as "" an additional or subordinate thing; an adjunct, an accompaniment; a minor fitting or attachment "": see Nokia Corporation v Truong (2006) 66 IPR 511 at 516. 66 I accept Brother's submissions that printer drum units are apparatus for the transmission or reproduction of images, and that the categorisation of a printer drum unit as a 'consumable' does not take it outside the description of a 'part', 'accessory' or 'attachment'. The evidence of both parties' witnesses indicates that printer drum units are part of the internal working of printers, facsimiles and multi-function devices. They are called consumables because they are parts or accessories with a limited life span, which is generally shorter than the life span of the machine in which they function. Although printer drum units are not fixed permanently within the machines and are removable for replacement, the machines cannot function without them. Given this essential role of the printer drum units, it is wrong to characterise them on the basis they are not a part of or an accessory to those machines. Accordingly, the proper conclusion is that trade marks 440897, 479964 and 1000137 are registered in respect of Brother's printer drum units, such as the Brother DR-200. I also accept Brother's submission that the cardboard box in which a printer drum unit is packaged is itself a 'good' made of cardboard falling within the scope of both class 16 and the specifications of registered trade mark 479964. Indeed, there was little genuine dispute on this point. 67 However, despite my finding that printer drum units are covered by the specifications of trade marks 440897, 479964 and 1000137 (and cardboard packaging by the specifications of trade mark 479966), in my view, Dynamic Supplies' submission that registered trade mark 1000137 was registered only after the conduct of Dynamic Supplies impugned by Brother, and therefore was not breached by that conduct, is correct. The trap purchases in this case were made in late February and early March 2004, and Brother did not register trade mark 1000137 until 30 April 2004. It is not possible, therefore, for registered trade mark 1000137 to be infringed by Dynamic Supplies' conduct in the same way the remainder of Brother's Australian trade marks have been. 68 For these reasons, I find that both the Brother DR-200 units and Brother DR-200 packaging are goods in respect of which Brother's Australian trade marks are registered, but that trade mark 1000137 has not been infringed by the Dynamic Supplies' conduct. 69 A respondent which uses an applicant's registered trade mark in the course of trade in relation to goods which fall within the scope of the mark's specifications will not infringe the mark if the use was with the consent of the applicant: see s 123 of the Act ."
